"localityId","county","localityType","localityName"
"63a0c562f6320e88cb02ea5f","Marin","NEIGHBORHOOD","Almonte"
"63a0c562f6320e88cb02ea60","Marin","NEIGHBORHOOD","Alto Sutton Manor"
"63a0c575f6320e88cb02eab6","Marin","NEIGHBORHOOD","Andersen - Shoreline"
"63a0c56ef6320e88cb02ea87","Marin","NEIGHBORHOOD","Baltimore Park"
"63a0c56ef6320e88cb02ea91","Marin","NEIGHBORHOOD","Bayfront"
"63a0c56bf6320e88cb02ea66","Marin","NEIGHBORHOOD","Bayside Acres"
"63a0c573f6320e88cb02eab3","Marin","NEIGHBORHOOD","Belvedere"
"63a0c56ef6320e88cb02ea94","Marin","NEIGHBORHOOD","Blithedale Canyon"
"63a0c56bf6320e88cb02ea72","Marin","NEIGHBORHOOD","Bret Harte"
"63a0c56bf6320e88cb02ea73","Marin","NEIGHBORHOOD","California Park"
"63a0c56bf6320e88cb02ea6c","Marin","NEIGHBORHOOD","Canal"
"63a0c56bf6320e88cb02ea6d","Marin","NEIGHBORHOOD","Canal Waterfront"
"63a0c56ef6320e88cb02ea95","Marin","NEIGHBORHOOD","Cascade Canyon"
"63a0c56ef6320e88cb02eaa2","Marin","NEIGHBORHOOD","Central Novato"
"63a0c56bf6320e88cb02ea76","Marin","NEIGHBORHOOD","China Camp"
"63a0c56bf6320e88cb02ea70","Marin","NEIGHBORHOOD","Civic Center"
"63a0c56bf6320e88cb02ea71","Marin","NEIGHBORHOOD","Country Club"
"63a0c573f6320e88cb02eaac","Marin","NEIGHBORHOOD","Creekside"
"63a0c56bf6320e88cb02ea7f","Marin","NEIGHBORHOOD","Dominican - Black Canyon"
"63a0c56bf6320e88cb02ea7e","Marin","NEIGHBORHOOD","Downtown Mill Valley"
"63a0c56bf6320e88cb02ea69","Marin","NEIGHBORHOOD","Downtown San Rafael"
"63a0c573f6320e88cb02eab1","Marin","NEIGHBORHOOD","El Campo"
"63a0c56bf6320e88cb02ea6e","Marin","NEIGHBORHOOD","Enchanted Knolls"
"63a0c573f6320e88cb02eaa8","Marin","NEIGHBORHOOD","Fairfax"
"63a0c56bf6320e88cb02ea74","Marin","NEIGHBORHOOD","Fairhills"
"63a0c56bf6320e88cb02ea81","Marin","NEIGHBORHOOD","Francisco Boulevard West"
"63a0c56bf6320e88cb02ea7c","Marin","NEIGHBORHOOD","Gerstle Park"
"63a0c56bf6320e88cb02ea78","Marin","NEIGHBORHOOD","Glenwood"
"63a0c56ef6320e88cb02ea8c","Marin","NEIGHBORHOOD","Greenbrae East"
"63a0c56ff6320e88cb02eaa5","Marin","NEIGHBORHOOD","Greenbrae Hills"
"63a0c56ef6320e88cb02ea86","Marin","NEIGHBORHOOD","Heather Gardens"
"63a0c56ef6320e88cb02ea9f","Marin","NEIGHBORHOOD","Hillview"
"63a0c56bf6320e88cb02ea68","Marin","NEIGHBORHOOD","Homestead Valley"
"63a0c573f6320e88cb02eaaa","Marin","NEIGHBORHOOD","Kentfield"
"63a0c56ef6320e88cb02ea8e","Marin","NEIGHBORHOOD","Larkspur Landing"
"63a0c56bf6320e88cb02ea7b","Marin","NEIGHBORHOOD","Lincoln-San Rafael Hill"
"63a0c56bf6320e88cb02ea67","Marin","NEIGHBORHOOD","Loch Lomond - Canal North"
"63a0c56bf6320e88cb02ea63","Marin","NEIGHBORHOOD","Los Ranchitos"
"63a0c56bf6320e88cb02ea6a","Marin","NEIGHBORHOOD","Lucas Valley"
"63a0c573f6320e88cb02eaad","Marin","NEIGHBORHOOD","Madrone Canyon"
"63a0c573f6320e88cb02eab4","Marin","NEIGHBORHOOD","Marin City"
"63a0c56ef6320e88cb02ea85","Marin","NEIGHBORHOOD","Marinship"
"63a0c56bf6320e88cb02ea75","Marin","NEIGHBORHOOD","Marinwood"
"63a0c56ef6320e88cb02ea99","Marin","NEIGHBORHOOD","Midwest Novato"
"63a0c56ef6320e88cb02ea89","Marin","NEIGHBORHOOD","Miller-Molino"
"63a0c56bf6320e88cb02ea6b","Marin","NEIGHBORHOOD","Mont Marin - San Rafael Park"
"63a0c56ef6320e88cb02ea88","Marin","NEIGHBORHOOD","Monte Mar Vista - Toyon Terraces"
"63a0c56bf6320e88cb02ea6f","Marin","NEIGHBORHOOD","Montecito - Happy Valley"
"63a0c56ef6320e88cb02eaa3","Marin","NEIGHBORHOOD","Muir Woods Park"
"63a0c56ef6320e88cb02ea8a","Marin","NEIGHBORHOOD","Murray Park"
"63a0c56ef6320e88cb02eaa4","Marin","NEIGHBORHOOD","Nevada Street Valley"
"63a0c56ef6320e88cb02ea92","Marin","NEIGHBORHOOD","New Town"
"63a0c573f6320e88cb02eaae","Marin","NEIGHBORHOOD","North Magnolia"
"63a0c56bf6320e88cb02ea77","Marin","NEIGHBORHOOD","North San Rafael Commercial Center"
"63a0c56ff6320e88cb02eaa6","Marin","NEIGHBORHOOD","Northeast Novato"
"63a0c56ef6320e88cb02ea9e","Marin","NEIGHBORHOOD","Northwest Novato"
"63a0c56ef6320e88cb02eaa0","Marin","NEIGHBORHOOD","Old Town"
"63a0c56ef6320e88cb02ea90","Marin","NEIGHBORHOOD","Old Town - Hurricane Gulch"
"63a0c56ef6320e88cb02ea98","Marin","NEIGHBORHOOD","Palm Hill"
"63a0c573f6320e88cb02eab2","Marin","NEIGHBORHOOD","Paradise Cay"
"63a0c56bf6320e88cb02ea7d","Marin","NEIGHBORHOOD","Peacock Gap"
"63a0c56bf6320e88cb02ea65","Marin","NEIGHBORHOOD","Picnic Valley"
"63a0c56ef6320e88cb02ea9b","Marin","NEIGHBORHOOD","Riviera Circle"
"63a0c573f6320e88cb02eaa9","Marin","NEIGHBORHOOD","Ross"
"63a0c566f6320e88cb02ea62","Marin","NEIGHBORHOOD","San Anselmo"
"63a0c575f6320e88cb02eab5","Marin","NEIGHBORHOOD","San Rafael Meadows - Merrydale"
"63a0c573f6320e88cb02eaa7","Marin","NEIGHBORHOOD","Santa Venetia"
"63a0c56ef6320e88cb02ea8f","Marin","NEIGHBORHOOD","Scott Valley - Alto"
"63a0c56ef6320e88cb02ea9c","Marin","NEIGHBORHOOD","Shelter Ridge"
"63a0c564f6320e88cb02ea61","Marin","NEIGHBORHOOD","Sleepy Hollow"
"63a0c56bf6320e88cb02ea83","Marin","NEIGHBORHOOD","Smith Ranch"
"63a0c573f6320e88cb02eaab","Marin","NEIGHBORHOOD","South Eliseo"
"63a0c573f6320e88cb02eaaf","Marin","NEIGHBORHOOD","South Magnolia"
"63a0c56ef6320e88cb02ea8b","Marin","NEIGHBORHOOD","Southeast Novato"
"63a0c56ef6320e88cb02ea97","Marin","NEIGHBORHOOD","Southwest Novato"
"63a0c56ef6320e88cb02ea93","Marin","NEIGHBORHOOD","Spring Street Valley"
"63a0c56bf6320e88cb02ea64","Marin","NEIGHBORHOOD","Strawberry"
"63a0c56bf6320e88cb02ea79","Marin","NEIGHBORHOOD","Sun Valley"
"63a0c56ef6320e88cb02ea8d","Marin","NEIGHBORHOOD","Sycamore - Tamalpals Park"
"63a0c56bf6320e88cb02ea82","Marin","NEIGHBORHOOD","Tamalpais Valley"
"63a0c56bf6320e88cb02ea7a","Marin","NEIGHBORHOOD","Terra Linda"
"63a0c56ef6320e88cb02eaa1","Marin","NEIGHBORHOOD","The Hill"
"63a0c56ef6320e88cb02ea84","Marin","NEIGHBORHOOD","The Loop"
"63a0c573f6320e88cb02eab0","Marin","NEIGHBORHOOD","Tiburon"
"63a0c56ef6320e88cb02ea9a","Marin","NEIGHBORHOOD","Warner Canyon - Kite Hill"
"63a0c56bf6320e88cb02ea80","Marin","NEIGHBORHOOD","West End"
"63a0c56ef6320e88cb02ea9d","Marin","NEIGHBORHOOD","West Novato"
"63a0c56ef6320e88cb02ea96","Marin","NEIGHBORHOOD","Wolfback Ridge"
"63a0c57cf6320e88cb02eac5","Marin","ZIPCODE","94901"
"63a0c57cf6320e88cb02eac6","Marin","ZIPCODE","94903"
"63a0c57cf6320e88cb02eac7","Marin","ZIPCODE","94904"
"63a0c57cf6320e88cb02eac8","Marin","ZIPCODE","94920"
"63a0c57cf6320e88cb02eac9","Marin","ZIPCODE","94924"
"63a0c57cf6320e88cb02eaca","Marin","ZIPCODE","94925"
"63a0c577f6320e88cb02eab7","Marin","ZIPCODE","94929"
"63a0c57cf6320e88cb02eacb","Marin","ZIPCODE","94930"
"63a0c57cf6320e88cb02eacc","Marin","ZIPCODE","94933"
"63a0c57cf6320e88cb02eacd","Marin","ZIPCODE","94937"
"63a0c57df6320e88cb02ead2","Marin","ZIPCODE","94938"
"63a0c57df6320e88cb02ead3","Marin","ZIPCODE","94939"
"63a0c57cf6320e88cb02eace","Marin","ZIPCODE","94940"
"63a0c579f6320e88cb02eabd","Marin","ZIPCODE","94941"
"63a0c57cf6320e88cb02eacf","Marin","ZIPCODE","94945"
"63a0c57cf6320e88cb02ead0","Marin","ZIPCODE","94946"
"63a0c57df6320e88cb02ead1","Marin","ZIPCODE","94947"
"63a0c57af6320e88cb02eac2","Marin","ZIPCODE","94949"
"63a0c578f6320e88cb02eab9","Marin","ZIPCODE","94950"
"63a0c579f6320e88cb02eabb","Marin","ZIPCODE","94952"
"63a0c57af6320e88cb02eabf","Marin","ZIPCODE","94956"
"63a0c578f6320e88cb02eaba","Marin","ZIPCODE","94957"
"63a0c57cf6320e88cb02eac4","Marin","ZIPCODE","94960"
"63a0c57af6320e88cb02eac3","Marin","ZIPCODE","94963"
"63a0c577f6320e88cb02eab8","Marin","ZIPCODE","94964"
"63a0c57af6320e88cb02eabe","Marin","ZIPCODE","94965"
"63a0c57af6320e88cb02eac0","Marin","ZIPCODE","94970"
"63a0c579f6320e88cb02eabc","Marin","ZIPCODE","94971"
"63a0c57af6320e88cb02eac1","Marin","ZIPCODE","94973"
"62ff047f9612f003262eafb9","Sacramento","NEIGHBORHOOD","Airport"
"62ff047e9612f003262eaf9b","Sacramento","NEIGHBORHOOD","Alhambra Triangle"
"62ff047e9612f003262eaf89","Sacramento","NEIGHBORHOOD","Alkali Flat"
"62ff047e9612f003262eaf81","Sacramento","NEIGHBORHOOD","American River Parkway"
"62ff047e9612f003262eaf83","Sacramento","NEIGHBORHOOD","Arden Fair"
"62ff047f9612f003262eafb5","Sacramento","NEIGHBORHOOD","Avondale"
"62ff047f9612f003262eafca","Sacramento","NEIGHBORHOOD","Belvedere"
"62ff047e9612f003262eaf74","Sacramento","NEIGHBORHOOD","Ben Ali"
"62ff047e9612f003262eaf90","Sacramento","NEIGHBORHOOD","Boulevard Park"
"62ff047f9612f003262eafb8","Sacramento","NEIGHBORHOOD","Brentwood"
"62ff047e9612f003262eaf98","Sacramento","NEIGHBORHOOD","CSUS"
"62ff047e9612f003262eaf88","Sacramento","NEIGHBORHOOD","Cal Expo"
"62ff047e9612f003262eaf93","Sacramento","NEIGHBORHOOD","Campus Commons"
"62ff047e9612f003262eaf75","Sacramento","NEIGHBORHOOD","Cannon Industrial Park"
"62ff047e9612f003262eafac","Sacramento","NEIGHBORHOOD","Carleton Tract"
"62ff047e9612f003262eafa4","Sacramento","NEIGHBORHOOD","Central Oak Park"
"62ff047f9612f003262eafcd","Sacramento","NEIGHBORHOOD","College Town"
"62ff047e9612f003262eaf9a","Sacramento","NEIGHBORHOOD","College/Glen"
"62ff047e9612f003262eafab","Sacramento","NEIGHBORHOOD","Colonial Heights"
"62ff047e9612f003262eafa9","Sacramento","NEIGHBORHOOD","Colonial Manor"
"62ff047e9612f003262eafb1","Sacramento","NEIGHBORHOOD","Colonial Village"
"62ff047e9612f003262eaf55","Sacramento","NEIGHBORHOOD","Creekside"
"62ff047e9612f003262eaf9c","Sacramento","NEIGHBORHOOD","Curtis Park"
"62ff047e9612f003262eaf67","Sacramento","NEIGHBORHOOD","Del Paso Heights"
"62ff047e9612f003262eaf66","Sacramento","NEIGHBORHOOD","Del Paso Park"
"62ff047e9612f003262eafb4","Sacramento","NEIGHBORHOOD","Depot Park"
"62ff047e9612f003262eaf87","Sacramento","NEIGHBORHOOD","Dos Rios Triangle"
"62ff047e9612f003262eaf8f","Sacramento","NEIGHBORHOOD","Downtown"
"62ff047e9612f003262eaf63","Sacramento","NEIGHBORHOOD","East Del Paso Heights"
"62ff047e9612f003262eaf8d","Sacramento","NEIGHBORHOOD","East Sacramento"
"62ff047f9612f003262eafc8","Sacramento","NEIGHBORHOOD","Elder Creek"
"62ff047e9612f003262eaf9d","Sacramento","NEIGHBORHOOD","Elmhurst"
"62ff047e9612f003262eaf80","Sacramento","NEIGHBORHOOD","Erikson Industrial Park"
"62ff047e9612f003262eafa1","Sacramento","NEIGHBORHOOD","Fairgrounds"
"62ff047e9612f003262eafb3","Sacramento","NEIGHBORHOOD","Florin Fruitridge Industrial Park"
"62ff047f9612f003262eafba","Sacramento","NEIGHBORHOOD","Freeport Manor"
"62ff047e9612f003262eafb2","Sacramento","NEIGHBORHOOD","Fruitridge Manor"
"62ff047e9612f003262eaf6f","Sacramento","NEIGHBORHOOD","Gardenland"
"62ff047e9612f003262eaf7d","Sacramento","NEIGHBORHOOD","Gateway Center"
"62ff047e9612f003262eaf68","Sacramento","NEIGHBORHOOD","Gateway West"
"62ff047f9612f003262eafbc","Sacramento","NEIGHBORHOOD","Glen Elder"
"62ff047e9612f003262eaf60","Sacramento","NEIGHBORHOOD","Glenwood Meadows"
"62ff047f9612f003262eafbf","Sacramento","NEIGHBORHOOD","Golf Course Terrace"
"62ff047e9612f003262eafa3","Sacramento","NEIGHBORHOOD","Granite Regional Park"
"62ff047f9612f003262eafce","Sacramento","NEIGHBORHOOD","Greenbriar"
"62ff047f9612f003262eafbb","Sacramento","NEIGHBORHOOD","Greenhaven"
"62ff047e9612f003262eaf70","Sacramento","NEIGHBORHOOD","Hagginwood"
"62ff047e9612f003262eaf57","Sacramento","NEIGHBORHOOD","Hansen Park Golf Course Site"
"62ff047f9612f003262eafcf","Sacramento","NEIGHBORHOOD","Heritage Park"
"62ff047e9612f003262eafae","Sacramento","NEIGHBORHOOD","Hollywood Park"
"62ff047e9612f003262eaf86","Sacramento","NEIGHBORHOOD","Johnson Business Park"
"62ff047e9612f003262eaf6e","Sacramento","NEIGHBORHOOD","Johnson Heights"
"62ff047e9612f003262eaf96","Sacramento","NEIGHBORHOOD","Land Park"
"62ff047e9612f003262eafaf","Sacramento","NEIGHBORHOOD","Lawrence Park"
"62ff047e9612f003262eafad","Sacramento","NEIGHBORHOOD","Little Pocket"
"62ff047f9612f003262eafb7","Sacramento","NEIGHBORHOOD","Mangan Park"
"62ff047e9612f003262eaf8a","Sacramento","NEIGHBORHOOD","Mansion Flats"
"62ff047e9612f003262eaf91","Sacramento","NEIGHBORHOOD","Marshall School"
"62ff047f9612f003262eafc2","Sacramento","NEIGHBORHOOD","Meadowview"
"62ff047e9612f003262eaf9e","Sacramento","NEIGHBORHOOD","Med Center"
"62ff047e9612f003262eaf77","Sacramento","NEIGHBORHOOD","Metro Center"
"62ff047e9612f003262eaf92","Sacramento","NEIGHBORHOOD","Midtown / Winn Park / Capital Avenue"
"62ff047f9612f003262eafc9","Sacramento","NEIGHBORHOOD","Morrison Creek"
"62ff047e9612f003262eaf7e","Sacramento","NEIGHBORHOOD","Natomas Corporate Center"
"62ff047e9612f003262eaf51","Sacramento","NEIGHBORHOOD","Natomas Creek"
"62ff047e9612f003262eaf64","Sacramento","NEIGHBORHOOD","Natomas Crossing"
"62ff047f9612f003262eafd1","Sacramento","NEIGHBORHOOD","Natomas Park"
"62ff047f9612f003262eafc7","Sacramento","NEIGHBORHOOD","New Brighton"
"62ff047e9612f003262eaf8c","Sacramento","NEIGHBORHOOD","New Era Park"
"62ff047f9612f003262eafc5","Sacramento","NEIGHBORHOOD","Newton Booth"
"62ff047e9612f003262eaf7a","Sacramento","NEIGHBORHOOD","Noralto"
"62ff047e9612f003262eafa8","Sacramento","NEIGHBORHOOD","North City Farms"
"62ff047e9612f003262eaf9f","Sacramento","NEIGHBORHOOD","North Oak Park"
"62ff047e9612f003262eaf72","Sacramento","NEIGHBORHOOD","Northgate"
"62ff047e9612f003262eaf5c","Sacramento","NEIGHBORHOOD","Northpointe"
"62ff047e9612f003262eaf6c","Sacramento","NEIGHBORHOOD","Norwood I-80"
"62ff047e9612f003262eaf6a","Sacramento","NEIGHBORHOOD","Norwood Tech"
"62ff047e9612f003262eaf69","Sacramento","NEIGHBORHOOD","Oak Knoll"
"62ff047e9612f003262eaf7c","Sacramento","NEIGHBORHOOD","Old North Sacramento"
"62ff047e9612f003262eaf8e","Sacramento","NEIGHBORHOOD","Old Sacramento"
"62ff047e9612f003262eaf65","Sacramento","NEIGHBORHOOD","Parker Homes"
"62ff047f9612f003262eafc1","Sacramento","NEIGHBORHOOD","Parkway"
"62ff047e9612f003262eaf5d","Sacramento","NEIGHBORHOOD","Pell/Main Industrial Park"
"62ff047f9612f003262eafbe","Sacramento","NEIGHBORHOOD","Pocket"
"62ff047e9612f003262eaf84","Sacramento","NEIGHBORHOOD","Point West"
"62ff047f9612f003262eafcb","Sacramento","NEIGHBORHOOD","Power Ridge"
"62ff047e9612f003262eaf5b","Sacramento","NEIGHBORHOOD","RP - Sports Complex"
"62ff047e9612f003262eaf59","Sacramento","NEIGHBORHOOD","Raley Industrial Park"
"62ff047f9612f003262eafcc","Sacramento","NEIGHBORHOOD","Ramona Village"
"62ff047e9612f003262eaf52","Sacramento","NEIGHBORHOOD","Regency Park"
"62ff047e9612f003262eaf76","Sacramento","NEIGHBORHOOD","Richardson Village"
"62ff047e9612f003262eaf97","Sacramento","NEIGHBORHOOD","Richmond Grove"
"62ff047e9612f003262eaf7f","Sacramento","NEIGHBORHOOD","River Gardens"
"62ff047e9612f003262eaf8b","Sacramento","NEIGHBORHOOD","River Park"
"62ff047e9612f003262eaf58","Sacramento","NEIGHBORHOOD","Robla"
"62ff047e9612f003262eafa5","Sacramento","NEIGHBORHOOD","SCC"
"62ff047e9612f003262eaf94","Sacramento","NEIGHBORHOOD","Sierra Oaks"
"62ff047f9612f003262eafb6","Sacramento","NEIGHBORHOOD","South City Farms"
"62ff047e9612f003262eaf73","Sacramento","NEIGHBORHOOD","South Hagginwood"
"62ff047e9612f003262eafa6","Sacramento","NEIGHBORHOOD","South Land Park"
"62ff047e9612f003262eaf6d","Sacramento","NEIGHBORHOOD","South Natomas"
"62ff047e9612f003262eafa7","Sacramento","NEIGHBORHOOD","South Oak Park"
"62ff047f9612f003262eafbd","Sacramento","NEIGHBORHOOD","Southeast Village"
"62ff047e9612f003262eaf85","Sacramento","NEIGHBORHOOD","Southern Pacific / Richards"
"62ff047e9612f003262eaf95","Sacramento","NEIGHBORHOOD","Southside Park"
"62ff047e9612f003262eaf71","Sacramento","NEIGHBORHOOD","Strawberry Manor"
"62ff047e9612f003262eaf5f","Sacramento","NEIGHBORHOOD","Sundance Lake"
"62ff047e9612f003262eaf7b","Sacramento","NEIGHBORHOOD","Swanston Estates"
"62ff047e9612f003262eafa0","Sacramento","NEIGHBORHOOD","Tahoe Park"
"62ff047e9612f003262eafa2","Sacramento","NEIGHBORHOOD","Tahoe Park East"
"62ff047e9612f003262eafaa","Sacramento","NEIGHBORHOOD","Tahoe Park South"
"62ff047e9612f003262eafb0","Sacramento","NEIGHBORHOOD","Tallac Village"
"62ff047e9612f003262eaf99","Sacramento","NEIGHBORHOOD","Upper Land Park"
